Date;Heure;prod_eolienne_MWh;prod_solaire_MWh
2022-05-14;16:00;540;4433
2022-05-14;17:00;683;3384
2022-05-15;00:00;3846;1
2022-05-15;18:00;4401;2060
2022-05-15;19:00;4075;854
2022-05-15;22:00;5653;3
2022-05-16;19:00;585;1168
2022-05-17;05:00;2422;1
2022-05-17;07:00;2629;481
2022-05-17;09:00;1032;3186
2022-05-17;15:00;1607;5596
2022-05-17;16:00;1722;4941
2022-05-17;18:00;2190;2633
2022-05-17;19:00;2171;1190
2022-05-18;00:00;3667;3
2022-05-18;01:00;3439;2
2022-05-18;08:00;753;1695
2022-05-18;10:00;370;4377
2022-05-18;11:00;416;5262
2022-05-18;13:00;722;5936
2022-05-18;14:00;826;5806
2022-05-18;16:00;1229;4678
2022-05-18;17:00;1284;3575
2022-05-19;00:00;5145;1
2022-05-19;02:00;4802;1
2022-05-19;10:00;3756;3098
2022-05-19;11:00;4527;3917
2022-05-19;12:00;4096;4407
2022-05-19;13:00;3723;4825
2022-05-19;16:00;3080;4698
2022-05-19;20:00;1698;273
2022-05-20;00:00;2714;1
2022-05-20;01:00;2830;1
2022-05-20;04:00;2830;1
2022-05-20;10:00;3270;3586
2022-05-21;00:00;2769;1
2022-05-21;12:00;594;5578
2022-05-21;13:00;573;5717
2022-05-21;14:00;503;5696
2022-05-21;17:00;461;3585
2022-05-21;22:00;2219;3
2022-05-22;03:00;3098;1
2022-05-22;08:00;1876;1210
2022-05-22;10:00;895;3469
2022-05-23;15:00;7893;3408
2022-05-24;00:00;4330;1
2022-05-24;06:00;5851;56
2022-05-24;08:00;5171;1458
2022-05-24;10:00;4989;3292
2022-05-24;12:00;4982;3818
2022-05-24;20:00;1983;294
2022-05-24;21:00;1579;24
2022-05-25;01:00;2165;1
2022-05-25;04:00;2733;1
2022-05-25;09:00;2053;2863
2022-05-25;11:00;4167;3667
2022-05-25;16:00;7427;3697
2022-05-25;18:00;7338;2111
2022-05-26;05:00;3395;1
2022-05-26;09:00;2672;2206
