Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2022-01-04;71358.0;9.1;4.6
2022-01-06;80813.0;3.2;4.6
2022-01-11;81453.0;3.5;4.7
2022-01-17;82703.0;4.3;4.9
2022-01-24;84562.0;2.7;5.2
2022-01-26;86087.0;1.8;5.3
2022-01-29;73577.0;6.0;5.4
2022-02-05;67465.0;6.2;5.8
2022-02-09;75299.0;7.1;6.0
2022-02-12;70415.0;4.2;6.2
2022-02-13;65508.0;7.3;6.2
2022-02-15;74579.0;7.4;6.4
2022-02-17;67052.0;12.1;6.5
2022-02-21;72351.0;8.9;6.7
2022-02-23;69759.0;9.0;6.8
2022-03-06;66154.0;5.1;7.6
2022-03-15;65645.0;11.4;8.3
2022-03-19;57827.0;10.5;8.7
2022-03-24;63744.0;11.3;9.2
2022-03-25;61074.0;12.0;9.3
2022-03-29;57797.0;12.7;9.8
2022-03-30;60716.0;10.6;9.9
2022-04-08;65341.0;10.3;11.0
2022-04-24;48469.0;12.7;13.1
2022-04-25;55240.0;12.4;13.2
2022-04-26;54793.0;12.4;13.3
2022-05-06;53407.0;14.9;14.6
2022-05-08;44941.0;16.2;14.8
2022-05-10;52325.0;19.4;15.1
2022-05-18;54083.0;22.1;16.0
2022-05-24;51620.0;15.1;16.7
2022-05-25;52313.0;15.5;16.8
2022-06-21;54709.0;21.5;19.4
2022-06-22;54631.0;21.2;19.5
2022-06-23;54029.0;21.3;19.6
2022-06-27;52453.0;18.6;19.9
2022-07-03;44362.0;20.6;20.4
2022-07-05;54355.0;21.0;20.5
2022-07-15;52104.0;23.5;21.0
2022-07-17;47223.0;25.5;21.1
2022-07-18;57300.0;28.6;21.1
2022-07-20;56113.0;22.9;21.2
2022-07-29;51442.0;22.4;21.2
2022-08-01;51229.0;23.8;21.2
2022-08-03;53322.0;26.7;21.1
2022-08-04;52657.0;25.1;21.1
2022-08-05;51010.0;22.6;21.0
2022-08-06;45894.0;22.1;21.0
2022-08-11;50768.0;26.5;20.7
2022-08-17;48415.0;20.1;20.3
2022-08-18;48535.0;20.4;20.2
2022-08-19;48366.0;20.6;20.1
2022-08-29;52811.0;23.1;19.1
2022-09-04;45007.0;21.8;18.4
2022-09-17;46034.0;13.7;16.8
2022-09-30;53119.0;12.1;15.1
2022-10-05;52286.0;16.4;14.4
2022-10-14;52405.0;16.2;13.2
2022-10-18;50507.0;17.9;12.7
2022-10-22;44951.0;16.9;12.1
2022-10-23;43902.0;18.3;12.0
2022-11-02;52986.0;13.0;10.6
2022-11-16;59846.0;11.7;8.5
2022-11-21;66937.0;7.8;7.8
2022-11-23;65627.0;9.1;7.5
2022-11-24;64544.0;9.7;7.4
2022-11-29;68400.0;7.1;6.8
2022-12-01;71863.0;5.3;6.5
2022-12-03;66265.0;4.3;6.3
2022-12-10;72828.0;1.4;5.6
2022-12-13;82616.0;1.0;5.4
2022-12-23;56346.0;13.0;4.8
2022-12-24;51159.0;11.2;4.8
2022-12-27;60376.0;7.4;4.7
2022-12-30;58205.0;10.5;4.6
2023-01-10;67922.0;7.9;4.7
2023-01-11;66453.0;9.4;4.7
2023-01-12;66034.0;9.6;4.7
2023-01-13;64268.0;9.2;4.8
2023-01-26;81538.0;2.5;5.3
2023-01-29;72805.0;2.1;5.4
2023-02-08;80377.0;2.2;6.0
2023-02-11;68919.0;4.3;6.1
2023-02-17;64059.0;10.6;6.5
2023-03-01;78708.0;3.0;7.2
2023-03-03;75094.0;5.0;7.4
2023-03-06;72098.0;5.0;7.6
2023-03-14;62320.0;9.5;8.2
2023-03-19;52977.0;10.3;8.7
2023-03-21;57975.0;11.0;8.9
2023-03-25;50670.0;11.3;9.3
2023-03-26;51840.0;10.1;9.4
2023-04-14;59919.0;8.9;11.7
2023-04-21;55928.0;10.7;12.7
2023-04-25;56169.0;10.9;13.2
2023-04-28;52037.0;16.9;13.6
2023-04-30;44791.0;14.1;13.8
2023-05-02;51789.0;14.3;14.1
2023-05-06;45142.0;16.5;14.6
2023-05-08;44939.0;15.8;14.8
2023-05-21;43866.0;16.5;16.3
2023-05-27;44385.0;19.4;17.0
2023-05-29;44010.0;18.9;17.2
2023-06-02;50014.0;17.9;17.6
2023-06-03;45141.0;18.6;17.7
2023-06-08;50785.0;21.7;18.2
2023-06-18;43459.0;21.8;19.1
2023-06-20;51514.0;22.2;19.3
2023-06-25;43747.0;24.6;19.8
2023-07-07;52944.0;24.0;20.6
2023-07-08;48373.0;25.4;20.7
2023-07-10;54051.0;24.0;20.8
2023-07-18;54240.0;22.9;21.1
2023-07-22;46076.0;20.5;21.2
2023-07-29;45788.0;21.2;21.2
2023-08-05;43484.0;17.4;21.0
2023-08-06;41881.0;17.3;21.0
2023-08-07;45865.0;17.6;20.9
2023-08-12;44141.0;22.3;20.7
2023-08-14;45826.0;22.1;20.5
2023-08-19;46091.0;24.8;20.1
2023-08-24;54853.0;25.8;19.6
2023-08-28;49394.0;16.9;19.2
2023-08-31;50855.0;17.7;18.9
2023-09-06;53684.0;24.5;18.2
2023-09-10;47132.0;24.8;17.7
2023-09-19;50573.0;18.4;16.5
2023-09-20;51066.0;19.2;16.4
2023-09-27;50504.0;18.9;15.5
2023-10-01;43846.0;19.4;15.0
2023-10-03;52457.0;18.9;14.7
2023-10-07;45928.0;16.5;14.2
2023-10-10;50066.0;18.2;13.8
2023-10-12;50726.0;19.2;13.5
2023-10-19;52834.0;17.3;12.6
2023-10-25;55208.0;13.8;11.7
2023-11-07;63062.0;9.3;9.8
2023-11-09;64689.0;9.8;9.5
2023-11-24;64236.0;9.0;7.4
2023-11-27;71754.0;6.3;7.0
2023-11-28;72024.0;6.5;6.9
2023-12-05;73794.0;6.8;6.1
2023-12-07;76196.0;4.7;5.9
2023-12-08;69475.0;8.3;5.8
2023-12-14;69471.0;7.8;5.3
2023-12-22;62757.0;10.4;4.8
2023-12-24;54470.0;10.0;4.8
2023-01-01;48783.0;12.7;4.6
2023-12-29;59508.0;9.9;4.6
2023-01-06;61019.0;10.1;4.6
2022-01-02;60044.0;10.5;4.6
2023-01-25;83719.0;2.0;5.2
2022-01-07;80021.0;4.6;4.6
2023-01-28;73600.0;2.9;5.4
2022-01-08;71791.0;6.8;4.7
2023-01-30;78601.0;4.0;5.5
2022-01-09;69777.0;6.4;4.7
2023-02-04;62591.0;8.0;5.8
2022-01-13;84193.0;2.1;4.8
2023-02-05;63352.0;7.2;5.8
2022-01-16;76876.0;2.0;4.9
2023-02-06;73747.0;4.8;5.9
2022-01-20;82099.0;4.9;5.0
2023-02-12;64412.0;5.5;6.2
2022-01-22;76373.0;3.2;5.1
2023-02-19;56258.0;9.7;6.6
2022-01-25;86043.0;1.5;5.2
2023-02-21;66460.0;8.8;6.7
2022-01-30;69542.0;6.7;5.5
2023-02-22;65640.0;9.0;6.8
2022-02-02;74159.0;9.0;5.6
2023-03-13;57958.0;13.4;8.2
2022-02-04;73351.0;7.6;5.8
2023-03-22;57576.0;12.0;9.0
2022-02-07;73010.0;8.1;5.9
2023-03-27;60573.0;8.3;9.5
2022-02-08;74411.0;7.0;6.0
2023-03-31;55019.0;12.5;10.0
2022-02-10;72624.0;7.6;6.1
2023-04-02;53630.0;9.2;10.2
2022-02-14;73224.0;8.3;6.3
2023-04-04;65072.0;7.3;10.5
2022-02-22;70410.0;9.2;6.8
2023-04-08;51617.0;10.2;11.0
2022-02-28;73657.0;6.8;7.2
2023-04-09;47374.0;11.8;11.1
2022-03-04;68580.0;8.4;7.4
2023-04-15;53433.0;10.2;11.9
2022-03-05;64065.0;6.7;7.5
2023-04-19;55018.0;13.2;12.4
2022-03-07;76263.0;3.9;7.7
2023-04-20;53889.0;11.1;12.5
2022-03-17;66557.0;9.5;8.5
2023-04-22;50685.0;12.6;12.8
2022-03-21;63425.0;11.5;8.9
2023-04-23;48744.0;12.2;12.9
2022-03-22;63016.0;10.9;9.0
2023-04-24;55340.0;11.6;13.1
2022-04-02;68562.0;3.8;10.2
2023-04-29;47589.0;14.6;13.7
2022-04-09;59877.0;7.8;11.1
2023-05-04;49973.0;17.2;14.3
2022-04-19;53823.0;12.1;12.4
2023-05-14;45713.0;13.8;15.6
